id,description,chart_template_id:id,name,sequence,amount,parent_id:id,child_depend,type,account_collected_id:id,account_paid_id:id,type_tax_use,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,ref_base_sign,ref_tax_sign,price_include,base_sign,tax_sign
22v,22v,l10n_it_cantieri_casa_chart_template,IVA nostro debito 22%,1,0.22,,False,percent,26,26,sale,template_impcode_riscossa_22,template_ivacode_riscossa_22,template_impcode_riscossa_22,template_ivacode_riscossa_22,-1,-1,False,1,1
00art91a,00art91a,l10n_it_cantieri_casa_chart_template,IVA Esente art.9.1 (DPR 633/72) a credito,1,0,,False,percent,18,18,purchase,template_impode_pagata_art91,template_ivacode_pagata_art91,template_impode_pagata_art91,template_ivacode_pagata_art91,1,1,False,-1,-1
7a,7a,l10n_it_cantieri_casa_chart_template,IVA nostro credito 7%,1,0.07,,False,percent,18,18,purchase,template_impcode_pagata_7,template_ivacode_pagata_7,template_impcode_pagata_7,template_ivacode_pagata_7,1,1,False,-1,-1
22a,22a,l10n_it_cantieri_casa_chart_template,IVA nostro credito 22%,2,0.22,,False,percent,18,18,purchase,template_impcode_pagata_22,template_ivacode_pagata_22,template_impcode_pagata_22,template_ivacode_pagata_22,1,1,False,-1,-1
21v,21v,l10n_it_cantieri_casa_chart_template,IVA nostro debito 21%,3,0.21,,False,percent,26,26,sale,template_impcode_riscossa_21,template_ivacode_riscossa_21,template_impcode_riscossa_21,template_ivacode_riscossa_21,-1,-1,False,1,1
20v,20v,l10n_it_cantieri_casa_chart_template,IVA nostro debito 20%,3,0.2,,False,percent,26,26,sale,template_impcode_riscossa_20,template_ivacode_riscossa_20,template_impcode_riscossa_20,template_ivacode_riscossa_20,-1,-1,False,1,1
20a,20a,l10n_it_cantieri_casa_chart_template,IVA nostro credito 20%,4,0.2,,False,percent,18,18,purchase,template_impcode_pagata_20,template_ivacode_pagata_20,template_impcode_pagata_20,template_ivacode_pagata_20,1,1,False,-1,-1
21a,21a,l10n_it_cantieri_casa_chart_template,IVA nostro credito 21%,4,0.21,,False,percent,18,18,purchase,template_impcode_pagata_21,template_ivacode_pagata_21,template_impcode_pagata_21,template_ivacode_pagata_21,1,1,False,-1,-1
10v,10v,l10n_it_cantieri_casa_chart_template,IVA nostro debito 10%,5,0.1,,False,percent,26,26,sale,template_impcode_riscossa_10,template_ivacode_riscossa_10,template_impcode_riscossa_10,template_ivacode_riscossa_10,-1,-1,False,1,1
10a,10a,l10n_it_cantieri_casa_chart_template,IVA nostro credito 10%,6,0.1,,False,percent,18,18,purchase,template_impcode_pagata_10,template_ivacode_pagata_10,template_impcode_pagata_10,template_ivacode_pagata_10,1,1,False,-1,-1
4v,4v,l10n_it_cantieri_casa_chart_template,IVA nostro debito  4%,17,0.04,,False,percent,26,26,sale,template_impcode_riscossa_4,template_ivacode_riscossa_4,template_impcode_riscossa_4,template_ivacode_riscossa_4,-1,-1,False,1,1
4a,4a,l10n_it_cantieri_casa_chart_template,IVA nostro credito  4%,18,0.04,,False,percent,18,18,purchase,template_impcode_pagata_4,template_ivacode_pagata_4,template_impcode_pagata_4,template_ivacode_pagata_4,1,1,False,-1,-1
00art15v,00art15v,l10n_it_cantieri_casa_chart_template,IVA esente Art.15 a debito,22,0,,False,percent,26,26,sale,template_impcode_riscossa_art15,template_ivacode_riscossa_art15,template_impcode_riscossa_art15,template_ivacode_riscossa_art15,-1,-1,False,1,1
00art15a,00art15a,l10n_it_cantieri_casa_chart_template,IVA esente Art.15 a credito,23,0,,False,percent,18,18,purchase,template_impcode_pagata_art15,template_ivacode_pagata_art15,template_impcode_pagata_art15,template_ivacode_pagata_art15,1,1,False,-1,-1
2140,2140,l10n_it_cantieri_casa_chart_template,Iva a credito 21% indetraibile 60%,33,0.21,,True,percent,,,purchase,template_impcode_pagata_21det40,,template_impcode_pagata_21det40,,1,1,False,-1,-1
21I5,21I5,l10n_it_cantieri_casa_chart_template,Iva a credito 21% 50%indetraibile,35,0.21,,True,percent,,,purchase,template_impcode_pagata_21det50,,template_impcode_pagata_21det50,,1,1,False,-1,-1
00art74v,00art74v,l10n_it_cantieri_casa_chart_template,IVA Esente Art. 74 a debito,36,0,,False,percent,26,26,sale,template_impcode_riscossa_art74,template_ivacode_riscossa_art74,template_impcode_riscossa_art74,template_ivacode_riscossa_art74,-1,-1,False,1,1
00art10a,00art10a,l10n_it_cantieri_casa_chart_template,IVA Esente art.10 a credito,37,0,,False,percent,18,18,purchase,template_impcode_pagata_art10,template_ivacode_pagata_art10,template_impcode_pagata_art10,template_ivacode_pagata_art10,1,1,False,-1,-1
00art26a,00art26a,l10n_it_cantieri_casa_chart_template,IVA Esente art.26 a credito,38,0,,False,percent,18,18,purchase,template_impcode_pagata_art26,template_ivacode_pagata_art26,template_impcode_pagata_art26,template_ivacode_pagata_art26,1,1,False,-1,-1
00art8v,00art8v,l10n_it_cantieri_casa_chart_template,IVA esente Art.8 (DPR 633/72) a debito,39,0,,False,percent,26,26,sale,template_impcode_riscossa_art8,template_ivacode_riscossa_art8,template_impcode_riscossa_art8,template_ivacode_riscossa_art8,-1,-1,False,1,1
00art9v,00art9v,l10n_it_cantieri_casa_chart_template,IVA esente Art.9 (DPR 633/72) a debito,40,0,,False,percent,26,26,sale,template_impcode_riscossa_art9,template_ivacode_riscossa_art9,template_impcode_riscossa_art9,template_ivacode_riscossa_art9,-1,-1,False,1,1
19a,19a,l10n_it_cantieri_casa_chart_template,IVA nostro credito 19%,41,0.19,,False,percent,18,18,purchase,template_impcode_pagata_19,template_ivacode_pagata_19,template_impcode_pagata_19,template_ivacode_pagata_19,1,1,False,-1,-1
